집계구코드,행정동코드
1107062080001,11260610
1110059020104,11320511
1110061020010,11320513
1111061020208,11350621
1112051010101,11380510
1115057030007,11470560
1115059030003,11470580
1115066050101,11470640
1117052020502,11530520
1117072030004,11530740
1119054010001,11560540
1121080010013,11620595
1121063020401,11620630
1123068020105,11680660
1124063020017,11710600
1124081020802,11710646
1124080010111,11710680
1125074020203,11740685
1105053030006,11215710
1108063010011,11290630
1112051010001,11380510
1112052070101,11380520
1112074030036,11380625
1113072040005,11410720
1114061020003,11440610
1114073040104,11440730
1115066050001,11470640
1116070050501,11500630
1117052020402,11530520
1118053020016,11545620
1121063020301,11620630
1121069020003,11620695
1122062010002,11650600
1122065030006,11650621
1123078040302,11680565
1124059020112,11710566
1124081020702,11710646
1125058020105,11740580
1125063021101,11740620
1105056010007,11215750
1105058010003,11215770
1108077020002,11290770
1110065020006,11320522
1111058030210,11350611
1112052070001,11380520
1112055020016,11380551
1112073050011,11380600
1114068020002,11440680
1114071040008,11440710
1116067011305,11500611
1116070050401,11500630
1116071020004,11500640
1117052020302,11530520
1118060020007,11545700
1120072020007,11590510
1120054040005,11590540
1121061010019,11620615
1122065010801,11650621
1124068010110,11710641
1124081020602,11710646
1125056020009,11740560
1125058020005,11740580
1125059010216,11740590
1125074020003,11740685
1104065030002,11200650
1106091070004,11230600
1108071020203,11290715
1109071020010,11305545
1111074050104,11350720
1112057020022,11380560
1112071040312,11380690
1113068040010,11410685
1115062020002,11470610
1116070050301,11500630
1116072010205,11500641
1117052020202,11530520
1117071060004,11530530
1119056050006,11560560
1120066010024,11590650
1121063020101,11620630
1123065030901,11680650
1124081020502,11710646
1107052010009,11260520
1108071020103,11290715
1109063010009,11305610
1109065010005,11305630
1109074010012,11305645
1109075040016,11305660
1113070010002,11410700
1116051020003,11500510
1116070050201,11500630
1117052020102,11530520
1117067030005,11530770
1117069030001,11530790
1119054030805,11560540
1121052030007,11620525
1121063020001,11620630
1121072010002,11620725
1123078040002,11680565
1124081020402,11710646
1104066010007,11200660
1105064020016,11215820
1108060030006,11290600
1112058010033,11380570
1112074040005,11380625
1114071010001,11440710
1116070050101,11500630
1116072010005,11500641
1121079030011,11620565
1122065010501,11650621
1123065030701,11680650
1123067020701,11680656
1124081020302,11710646
1102059060001,11140590
1102068020006,11140680
1106081140102,11230536
1110063011209,11320515
1110052010008,11320670
1115063010003,11470611
1116051021901,11500510
1116070050001,11500630
1117064010024,11530750
1118051050001,11545510
1119056041202,11560560
1119069020305,11560690
1122065010401,11650621
1123065030601,11680650
1124081020202,11710646
1124075010112,11710690
1125061010004,11740600
1125073010002,11740610
1101068010018,11110680
1106081140002,11230536
1110065030108,11320522
1112051020003,11380510
1116051021801,11500510
1116069030017,11500620
1116071021602,11500640
1119056030501,11560560
1119056041102,11560560
1121069030005,11620695
1122062020004,11650600
1123065030501,11680650
1124059030114,11710566
1124081020102,11710646
1101070010006,11110700
1105056020009,11215750
1105058020005,11215770
1107064020010,11260620
1108077030004,11290770
1116055030030,11500590
1117055021106,11530550
1118057010003,11545670
1119056030401,11560560
1123067020401,11680656
1124081020002,11710646
1125074030005,11740685
1103057010306,11170570
1104065040004,11200650
1106082060001,11230545
1111079070002,11350595
1112058020002,11380570
1113068050012,11410685
1115057010002,11470560
1116072020207,11500641
1118055010007,11545640
1119069020005,11560690
1120071030014,11590605
1120065010008,11590640
1123051010204,11680510
1123067020301,11680656
1124068020012,11710641
1125072020025,11740570
1125063020302,11740620
1102072010304,11140645
1103059010201,11170590
1104069010014,11200720
1105059010015,11215780
1107054020006,11260540
1107072040006,11260575
1109061020020,11305600
1109065020006,11305630
1111077060201,11350695
1113070020003,11410700
1114069010008,11440690
1116071021301,11500640
1119056040802,11560560
1123051010103,11680510
1123078050003,11680565
1123071030012,11680690
1125063020201,11740620
1103059010101,11170590
1104066020008,11200660
1107073040018,11260655
1108071030004,11290715
1110064050008,11320521
1111077060101,11350695
1112074050006,11380625
1113072030501,11410720
1114060060001,11440600
1114071020002,11440710
1115063020104,11470611
1116071021201,11500640
1119072010103,11560720
1120052020003,11590520
1120054030601,11590540
1122057010103,11650560
1122059020701,11650580
1124054020012,11710532
1124069010112,11710642
1124082020604,11710647
1125063020101,11740620
1102072010104,11140645
1103057010005,11170570
1103059010001,11170590
1107057010013,11260570
1107069020208,11260680
1108084010407,11290705
1110062020308,11320514
1110065010502,11320522
1110052020009,11320670
1111059030112,11350612
1111077060001,11350695
1115063020004,11470611
1116067010305,11500611
1116067012402,11500611
1116070060002,11500630
1117072050007,11530740
1117065010003,11530760
1119054030004,11560540
1119070010007,11560700
1120054030501,11590540
1121057030011,11620575
1121073010014,11620735
1123078051901,11680565
1123068010401,11680660
1124082020504,11710647
1124080030114,11710680
1125061020005,11740600
1125073020003,11740610
