f0,f1,f2,f3,f4,f5,f6
20180626.0,24,24,24,24,24,24
20180627.0,24,24,24,24,24,24
20180628.0,24,24,24,24,24,24
20180629.0,24,24,24,24,24,24
20180630.0,24,24,24,24,24,24
20180701.0,24,24,24,24,24,24
20180702.0,24,24,24,24,24,24
20180703.0,24,24,24,24,24,24
20180704.0,24,24,24,24,24,24
20180705.0,24,24,24,24,24,24
20180706.0,24,24,24,24,24,24
20180707.0,24,24,24,24,24,24
20180708.0,24,24,24,24,24,24
20180709.0,24,24,24,24,24,24
20180710.0,24,24,24,24,24,24
20180711.0,24,24,24,24,24,24
20180712.0,24,24,24,24,24,24
20180713.0,24,24,24,24,24,24
20180714.0,24,24,24,24,24,24
20180715.0,24,24,24,24,24,24
20180716.0,24,24,24,24,24,24
20180717.0,24,24,24,24,24,24
20180718.0,24,24,24,24,24,24
20180719.0,24,24,24,24,24,24
20180720.0,24,24,24,24,24,24
20180721.0,24,24,24,24,24,24
20180722.0,24,24,24,24,24,24
20180723.0,24,24,24,24,24,24
20180724.0,24,24,24,24,24,24
20180725.0,24,24,24,24,24,24
20180726.0,24,24,24,24,24,24
20180727.0,24,24,24,24,24,24
20180728.0,24,24,24,24,24,24
20180729.0,24,24,24,24,24,24
20180730.0,24,24,24,24,24,24
20180731.0,24,24,24,24,24,24
20180801.0,24,24,24,24,24,24
20180802.0,24,24,24,24,24,24
20180803.0,24,24,24,24,24,24
20180804.0,24,24,24,24,24,24
20180805.0,24,24,24,24,24,24
20180806.0,24,24,24,24,24,24
20180807.0,24,24,24,24,24,24
20180808.0,24,24,24,24,24,24
20180809.0,24,24,24,24,24,24
20180810.0,24,24,24,24,24,24
20180811.0,24,24,24,24,24,24
20180812.0,24,24,24,24,24,24
20180813.0,24,24,24,24,24,24
20180814.0,24,24,24,24,24,24
20180815.0,24,24,24,24,24,24
20180816.0,24,24,24,24,24,24
20180817.0,24,24,24,24,24,24
20180818.0,24,24,24,24,24,24
20180819.0,24,24,24,24,24,24
20180820.0,24,24,24,24,24,24
20180821.0,24,24,24,24,24,24
20180822.0,24,24,24,24,24,24
20180823.0,24,24,24,24,24,24
20180824.0,24,24,24,24,24,24
20180825.0,24,24,24,24,24,24
20180826.0,24,24,24,24,24,24
20180827.0,24,24,24,24,24,24
20180828.0,24,24,24,24,24,24
20180829.0,24,24,24,24,24,24
20180830.0,24,24,24,24,24,24
20180831.0,24,24,24,24,24,24
20180901.0,24,24,24,24,24,24
20180902.0,24,24,24,24,24,24
20180903.0,24,24,24,24,24,24
20180904.0,24,24,24,24,24,24
20180905.0,24,24,24,24,24,24
20180906.0,24,24,24,24,24,24
20180907.0,24,24,24,24,24,24
20180908.0,24,24,24,24,24,24
20180909.0,24,24,24,24,24,24
20180910.0,24,24,24,24,24,24
20180911.0,24,24,24,24,24,24
20180912.0,24,24,24,24,24,24
20180913.0,24,24,24,24,24,24
20180914.0,24,24,24,24,24,24
20180915.0,24,24,24,24,24,24
20180916.0,24,24,24,24,24,24
20180917.0,24,24,24,24,24,24
20180918.0,24,24,24,24,24,24
20180919.0,24,24,24,24,24,24
20180920.0,24,24,24,24,24,24
20180921.0,24,24,24,24,24,24
20180922.0,24,24,24,24,24,24
20180923.0,24,24,24,24,24,24
20180924.0,24,24,24,24,24,24
20180925.0,24,24,24,24,24,24
20180926.0,24,24,24,24,24,24
20180927.0,24,24,24,24,24,24
20180928.0,24,24,24,24,24,24
20180929.0,24,24,24,24,24,24
20180930.0,24,24,24,24,24,24
20181001.0,24,24,24,24,24,24
20181002.0,24,24,24,24,24,24
20181003.0,24,24,24,24,24,24
20181004.0,24,24,24,24,24,24
20181005.0,24,24,24,24,24,24
20181006.0,24,24,24,24,24,24
20181007.0,24,24,24,24,24,24
20181008.0,24,24,24,24,24,24
20181009.0,24,24,24,24,24,24
20181010.0,24,24,24,24,24,24
20181011.0,24,24,24,24,24,24
20181012.0,24,24,24,24,24,24
20181013.0,24,24,24,24,24,24
20181014.0,24,24,24,24,24,24
20181015.0,24,24,24,24,24,24
20181016.0,24,24,24,24,24,24
20181017.0,24,24,24,24,24,24
20181018.0,24,24,24,24,24,24
20181019.0,24,24,24,24,24,24
20181020.0,24,24,24,24,24,24
20181021.0,24,24,24,24,24,24
20181022.0,24,24,24,24,24,24
20181023.0,24,24,24,24,24,24
20181024.0,24,24,24,24,24,24
20181025.0,24,24,24,24,24,24
20181026.0,24,24,24,24,24,24
20181027.0,24,24,24,24,24,24
20181028.0,24,24,24,24,24,24
20181029.0,24,24,24,24,24,24
20181030.0,24,24,24,24,24,24
20181031.0,24,24,24,24,24,24
20181101.0,24,24,24,24,24,24
20181102.0,24,24,24,24,24,24
20181103.0,24,24,24,24,24,24
20181104.0,24,24,24,24,24,24
20181105.0,24,24,24,24,24,24
20181106.0,24,24,24,24,24,24
20181107.0,24,24,24,24,24,24
20181108.0,24,24,24,24,24,24
20181109.0,24,24,24,24,24,24
20181110.0,24,24,24,24,24,24
20181111.0,24,24,24,24,24,24
20181112.0,24,24,24,24,24,24
20181113.0,24,24,24,24,24,24
20181114.0,24,24,24,24,24,24
20181115.0,24,24,24,24,24,24
20181116.0,24,24,24,24,24,24
20181117.0,24,24,24,24,24,24
20181118.0,24,24,24,24,24,24
20181119.0,24,24,24,24,24,24
20181120.0,24,24,24,24,24,24
20181121.0,24,24,24,24,24,24
20181122.0,24,24,24,24,24,24
20181123.0,24,24,24,24,24,24
20181124.0,24,24,24,24,24,24
20181125.0,24,24,24,24,24,24
20181126.0,24,24,24,24,24,24
20181127.0,24,24,24,24,24,24
20181128.0,24,24,24,24,24,24
20181129.0,24,24,24,24,24,24
20181130.0,24,24,24,24,24,24
20181201.0,24,24,24,24,24,24
20181202.0,24,24,24,24,24,24
20181203.0,24,24,24,24,24,24
20181204.0,24,24,24,24,24,24
20181205.0,24,24,24,24,24,24
20181206.0,24,24,24,24,24,24
20181207.0,24,24,24,24,24,24
20181208.0,24,24,24,24,24,24
20181209.0,24,24,24,24,24,24
20181210.0,24,24,24,24,24,24
20181211.0,24,24,24,24,24,24
20181212.0,24,24,24,24,24,24
20181213.0,24,24,24,24,24,24
20181214.0,24,24,24,24,24,24
20181215.0,24,24,24,24,24,24
20181216.0,24,24,24,24,24,24
20181217.0,24,24,24,24,24,24
20181218.0,24,24,24,24,24,24
20181219.0,24,24,24,24,24,24
20181220.0,24,24,24,24,24,24
20181221.0,24,24,24,24,24,24
20181222.0,24,24,24,24,24,24
20181223.0,24,24,24,24,24,24
20181224.0,24,24,24,24,24,24
20181225.0,24,24,24,24,24,24
20181226.0,24,24,24,24,24,24
20181227.0,24,24,24,24,24,24
20181228.0,24,24,24,24,24,24
20181229.0,24,24,24,24,24,24
20181230.0,24,24,24,24,24,24
20181231.0,24,24,24,24,24,24
20190101.0,24,24,24,24,24,24
20190102.0,24,24,24,24,24,24
20190103.0,24,24,24,24,24,24
20190104.0,24,24,24,24,24,24
20190105.0,24,24,24,24,24,24
20190106.0,24,24,24,24,24,24
20190107.0,24,24,24,24,24,24
20190108.0,24,24,24,24,24,24
20190109.0,24,24,24,24,24,24
20190110.0,24,24,24,24,24,24
20190111.0,24,24,24,24,24,24
20190112.0,24,24,24,24,24,24
20190113.0,24,24,24,24,24,24
20190114.0,24,24,24,24,24,24
20190115.0,24,24,24,24,24,24
20190116.0,24,24,24,24,24,24
20190117.0,24,24,24,24,24,24
20190118.0,24,24,24,24,24,24
20190119.0,24,24,24,24,24,24
20190120.0,24,24,24,24,24,24
20190121.0,24,24,24,24,24,24
20190122.0,24,24,24,24,24,24
20190123.0,24,24,24,24,24,24
20190124.0,24,24,24,24,24,24
20190125.0,24,24,24,24,24,24
20190126.0,24,24,24,24,24,24
20190127.0,24,24,24,24,24,24
20190128.0,24,24,24,24,24,24
20190129.0,24,24,24,24,24,24
20190130.0,24,24,24,24,24,24
20190131.0,24,24,24,24,24,24
20190201.0,24,24,24,24,24,24
20190202.0,24,24,24,24,24,24
20190203.0,24,24,24,24,24,24
20190204.0,24,24,24,24,24,24
20190205.0,24,24,24,24,24,24
20190206.0,24,24,24,24,24,24
20190207.0,24,24,24,24,24,24
20190208.0,24,24,24,24,24,24
20190209.0,24,24,24,24,24,24
20190210.0,24,24,24,24,24,24
20190211.0,24,24,24,24,24,24
20190212.0,24,24,24,24,24,24
20190213.0,24,24,24,24,24,24
20190214.0,24,24,24,24,24,24
20190215.0,72,72,72,72,72,72
20190216.0,24,24,24,24,24,24
20190217.0,24,24,24,24,24,24
20190218.0,24,24,24,24,24,24
20190219.0,24,24,24,24,24,24
20190220.0,24,24,24,24,24,24
20190221.0,24,24,24,24,24,24
20190222.0,24,24,24,24,24,24
20190223.0,24,24,24,24,24,24
20190224.0,24,24,24,24,24,24
20190225.0,24,24,24,24,24,24
20190226.0,24,24,24,24,24,24
20190227.0,24,24,24,24,24,24
20190228.0,24,24,24,24,24,24
20190301.0,24,24,24,24,24,24
