집계구코드,행정동코드
1112055020006,11380551
1112073050001,11380600
1112071040402,11380690
1115059030026,11470580
1121061010009,11620615
1122054010408,11650531
1122067030015,11650652
1124059020002,11710566
1124064010018,11710610
1125059010206,11740590
1101073010007,11110650
1104054010704,11200540
1106081060001,11230536
1106088030109,11230660
1108078010103,11290780
1109070030022,11305535
1109074010102,11305645
1111051010005,11350560
1111065030802,11350630
1112057020012,11380560
1112066010010,11380632
1112071040302,11380690
1114075010202,11440585
1118052050203,11545610
1120053020210,11590530
1120071020002,11590605
1120066010014,11590650
1121079030201,11620565
1123080020119,11680670
1124054020803,11710532
1125072010013,11740570
1101053010006,11110530
1101055010002,11110550
1101056020020,11110560
1107059030005,11260580
1108078010003,11290780
1109074010002,11305645
1109075040006,11305660
1111065030702,11350630
1111065041303,11350630
1111076030003,11350665
1113074010203,11410555
1115065020801,11470630
1118052050103,11545610
1120055030006,11590550
1122054010208,11650531
1123071020001,11680690
1123076030304,11680700
1124054020703,11710532
1124060020302,11710570
1125059010006,11740590
1125074020026,11740685
1105064020006,11215820
1107073030007,11260655
1108085060008,11290810
1109071030402,11305545
1111065030602,11350630
1112058010023,11380570
1112071040102,11380690
1114075010002,11440585
1115061010007,11470600
1115065020701,11470630
1121079030001,11620565
1124054010001,11710532
1124079030132,11710670
1102071020121,11140635
1107069040010,11260680
1108082040018,11290555
1109071030302,11305545
1111051020307,11350560
1111059020101,11350612
1112065030011,11380631
1112071040002,11380690
1115053030007,11470530
1116052010004,11500520
1117064010014,11530750
1119073020302,11560515
1119073050009,11560515
1121080020005,11620595
1123064030011,11680640
1124052040001,11710520
1124054020503,11710532
1124065030005,11710620
1124068020302,11710641
1124080020103,11710680
1124075010102,11710690
1101068010008,11110680
1103063010107,11170630
1108085030101,11290810
1109069020017,11305534
1116069030007,11500620
1119073020202,11560515
1119055010104,11560550
1122052050004,11650520
1124059030104,11710566
1124060020002,11710570
1124075010002,11710690
1125067020015,11740660
1108066010110,11290660
1108085030001,11290810
1111065030302,11350630
1112052010104,11380520
1112055030008,11380551
1115054020018,11470540
1116055030020,11500590
1119055010004,11560550
1120071030104,11590605
1122067040017,11650652
1124065021301,11710620
1124075010135,11710690
1125063010023,11740620
1101073020009,11110650
1104068030101,11200690
1106071010003,11230710
1107057010304,11260570
1108059020421,11290590
1109071030002,11305545
1111051020007,11350560
1111058040102,11350611
1112059030010,11380580
1113068050002,11410685
1116058010019,11500560
1119073020002,11560515
1120071030004,11590605
1121080011201,11620595
1122053030009,11650530
1124068020002,11710641
1125072020015,11740570
1101055020004,11110550
1102060010001,11140605
1104052010008,11200520
1104054010004,11200540
1104068030001,11200690
1104069010005,11200720
1105059010006,11215780
1108078020005,11290780
1109061020011,11305600
1109074020004,11305645
1111058040002,11350611
1111076040005,11350665
1113062010018,11410620
1113066010010,11410660
1115065020201,11470630
1118052060105,11545610
1118057010026,11545670
1121068010010,11620685
1123071030003,11680690
1105064030007,11215820
1105061030001,11215860
1106071020404,11230710
1107073040008,11260655
1108066050118,11290660
1109072010006,11305555
1110057010401,11320710
1111065030001,11350630
1112071050103,11380690
1114075020003,11440585
1115051010405,11470510
1115061020008,11470600
1122058020111,11650570
1124054020002,11710532
1124067010006,11710632
1124069010102,11710642
1106088010103,11230660
1107057010003,11260570
1107073010201,11260655
1110057010301,11320710
1111059030102,11350612
1111078070107,11350625
1111073040110,11350710
1113074020004,11410555
1113073010019,11410565
1113071010004,11410710
1116052020005,11500520
1117061010703,11530720
1117062020019,11530730
1120073010205,11590630
1121057030001,11620575
1121073010004,11620735
1123059020010,11680590
1124065020901,11710620
1124080030104,11710680
1124075020103,11710690
1105062010006,11215870
1106088010003,11230660
1107059031202,11260580
1107062030005,11260610
1107064030101,11260620
1107073010101,11260655
1108058010002,11290580
1110057010201,11320710
1111065040403,11350630
1112052020205,11380520
1114059010201,11440590
1115065030502,11470630
1115072030030,11470650
1120073010105,11590630
1123074020304,11680740
1124060030003,11710570
1106089010015,11230740
1107073010001,11260655
1108084040010,11290705
1108085040002,11290810
1110057010101,11320710
1114059010101,11440590
1115053010101,11470530
1119055020005,11560550
1120071040105,11590605
1121058010006,11620585
1124065020701,11710620
1124071010011,11710650
1105054030010,11215730
1106081080004,11230536
1106086010107,11230610
1106071020004,11230710
1107059031002,11260580
1108081030001,11290525
1108072030407,11290725
1109071040003,11305545
1110055010006,11320690
1110057010001,11320710
1110057020603,11320710
1111079010104,11350595
1111058050103,11350611
1112052020005,11380520
1112067010005,11380640
1114078010410,11440555
1114059010001,11440590
1115051010005,11470510
1115053010001,11470530
1115071010111,11470550
